"","bag","mean_ht2023","med_ht2023","sd_ht2023","pslopeht_mean","pslopeht_med","pslopeht_sd"
"1","Bayan_1st",0.0950008650862727,0.0945091396570206,0.0096228797314738,1.85421803187401,1.66116250328675,2.018006022247
"2","Bayan_2nd",0.0945100789672934,0.0949778854846954,0.0093412284112054,2.48521223999463,2.35681904029366,2.27578242032659
"3","Bayan_3rd",0.0956403487481238,0.0948251485824585,0.00898774939882737,1.59256353819772,1.42332963754413,2.06832307546061
"4","Bayantsagaan_1st",0.0905346994033005,0.0903159454464912,0.0112223951613263,3.42431416828787,3.23563294509437,2.31854223576631
"5","Bayantsagaan_2nd",0.0971510326547595,0.0970685668289661,0.0101182621362353,2.97861665473226,2.87069332989393,2.01143815843023
"6","Bayantsagaan_3rd",0.0927515607498995,0.0919049456715584,0.0110113735362924,4.39604516243467,4.32434060191862,2.4485281843073
"7","Bayantsagaan_4th",0.0859240300764589,0.0853456780314445,0.012712929030898,3.64890915237067,3.44475696823806,2.52142256414873
"8","Bayantsagaan_5th",0.0891644486846366,0.0844718813896179,0.0191526965587692,1.94613061775967,1.77102735663301,1.96401371915098
"9","Buren_1st",0.0860642574407377,0.0831579640507698,0.0143701735969089,0.817830981110795,0.455932622246666,2.18361791185446
"10","Buren_2nd",0.0918919550664193,0.0914153829216957,0.013373179629988,0.968657589021483,0.85004822919016,1.86253339646612
"11","Buren_3rd",0.094447003022609,0.0942558795213699,0.014243383037537,0.876754085499407,0.773185619927969,1.98934872667755
"12","Buren_4th",0.0965952688516697,0.0951470956206322,0.0158062004154236,0.820893633710708,0.666701389716083,2.02298171721744
"13","Bayantal_1st",0.0941481143651253,0.0935544483363628,0.00956559101754679,0.847817642224118,0.765158158353814,1.83699177720074
"14","Buren_5th",0.0831515775690202,0.0807800740003586,0.0127322695816593,2.3214653038591,2.20387252941107,2.09765090225207
"15","Delgerkhaan_1st",0.0895109964650714,0.0892627649009228,0.0132381724230348,2.90616531900514,2.69790808064645,2.39132238611155
"16","Delgerkhaan_2nd",0.0840175918259,0.0824706330895424,0.0139794454297122,1.86362060710789,1.39085317333297,2.40920707351773
"17","Sumber_1st",0.077186957692918,0.0766651034355164,0.0073978598566256,1.5742620891942,1.42699074606162,1.84802199402486
"18","Sumber_2nd",0.0752529742552168,0.0739265158772469,0.00757632386584412,1.39752492261491,0.858876513833023,2.59062275701066
"19","Sumber_3rd",0.0754732789738413,0.0745244026184082,0.00687077289676752,1.42210901124427,1.15776467577596,2.1281678349154
"20","Sumber_4th",0.0795105493284242,0.0775170251727104,0.0100477821775076,1.39376342762526,1.20497434328848,2.12515348194742
"21","Sumber_5th",0.0823481925723646,0.0797672122716904,0.0120232113335737,0.793826614636219,0.634216895999516,1.93223653364887
"22","Sumber_6th",0.0998112953761015,0.0997515097260475,0.0123216315159086,0.732226231664305,0.605507626308043,2.07904275528983
"23","Bayantal_2nd",0.0963583143690392,0.0961487330496311,0.00871567931866198,1.65724095571698,1.63630639038353,1.93849276815491
"24","Deren_1st",0.0743898891864745,0.0710997581481934,0.00993631568062564,1.95842195437313,1.46599437756635,2.60989807510719
"25","Deren_2nd",0.0779212632279352,0.0747857131063938,0.0115863222993707,3.45804475052946,3.36996030843257,2.80822794661977
"26","Deren_3rd",0.0769438455308915,0.0741943046450615,0.0107482486772642,2.98070349690957,2.82238752771551,2.68347571835132
"27","Deren_4th",0.080000242148906,0.0778904519975185,0.0114082268344432,3.20219055007587,3.19685656811549,2.75425741393736
"28","Erdenedalai_1st",0.0744742258384395,0.0708227381110191,0.0100356925798665,0.765426367908595,0.034863567834687,2.39036695099229
"29","Erdenedalai_2nd",0.0679570109526767,0.065530814230442,0.00947797389496182,0.119053065086369,-0.34988631643826,2.06740660250329
"30","Erdenedalai_3rd",0.0734250867347459,0.0690914578735828,0.0129562512009036,0.856827923360421,0.245491824158183,2.30502683366991
"31","Erdenedalai_4th",0.0708747711050246,0.0683706998825073,0.00962789330688509,0.85310339806855,0.351139132355682,2.25143712555232
"32","Erdenedalai_5th",0.0719651396329288,0.0703031606972218,0.00784526675459973,0.603198310847327,0.0221717015557619,2.49703687851293
"33","Erdenedalai_6th",0.0700518326079557,0.0681004896759987,0.00829937818976004,0.847445731067234,0.270704489515075,2.26236996538819
"34","Erdenedalai_7th",0.0667249195727219,0.0659328252077103,0.00554939970386052,0.553171605560007,0.185827874763862,2.11701881173433
