"","bag","mean_cover2023","med_cover2023","sd_cover2023","pslope_mean","pslope_med","pslope_sd"
"1","Bayan_1st",72.9946207453569,73.4982604980469,4.00029937575227,0.971239144139875,0.944810792250976,0.827333396028178
"2","Bayan_2nd",73.1716729925859,73.6667785644531,3.50551458698957,1.28154589263014,1.23137187808385,0.913047570902792
"3","Bayan_3rd",74.0347371357517,74.6435623168945,3.65969215199055,0.985654336761329,0.930468437386603,0.865146716488607
"4","Bayantsagaan_1st",71.5203497279909,71.3707656860352,4.54362445926649,2.09306345443387,2.02136364830928,1.1434247451227
"5","Bayantsagaan_2nd",74.4844744888023,75.292537689209,3.85970217117383,1.76396383811183,1.76116942121698,0.867988852405543
"6","Bayantsagaan_3rd",72.7061265484831,73.1002731323242,4.30688384784522,2.3181826317718,2.22678400224217,1.10762694208387
"7","Bayantsagaan_4th",69.854860602379,69.902214050293,4.99339995387829,2.56971591792206,2.4849703566084,1.28752968154346
"8","Bayantsagaan_5th",70.6238096402426,69.2882041931152,6.89514567976666,1.17777882710621,1.15831020126437,0.987720549932299
"9","Buren_1st",68.8509751686442,69.4807739257812,6.35099688670503,1.37815228346761,1.14836865374983,1.20401184589703
"10","Buren_2nd",72.0559713478468,71.8236389160156,4.46973506800949,1.10043191415741,1.08043968669469,0.947996358708355
"11","Buren_3rd",72.5973088884779,72.5125427246094,4.94633164075907,0.960710340738088,0.976447347528555,1.0171049641196
"12","Buren_4th",73.4183471557457,73.3530502319336,5.40863075230485,0.888636730141053,0.877524850551936,1.03806134469621
"13","Bayantal_1st",73.5789182706142,73.6617774963379,3.21446987995313,0.408162774519751,0.3805271647279,0.815051919710084
"14","Buren_5th",68.7819537016319,68.1288146972656,4.56149987205811,1.90760928277144,1.78668918860377,1.21870464403397
"15","Delgerkhaan_1st",70.9821760882004,70.4772911071777,4.97248816596615,1.96460783774742,1.93750060765558,0.985991881215768
"16","Delgerkhaan_2nd",68.7193171524758,68.2870941162109,5.75790035553009,1.799196514347,1.75122718406198,1.04204895406511
"17","Sumber_1st",62.6945002481947,62.747314453125,4.87573497014799,2.18406355069384,2.39461847106725,1.32601240213385
"18","Sumber_2nd",63.2359348814725,64.483039855957,5.16742329458925,2.14525264667959,2.28991916973298,1.53523773619344
"19","Sumber_3rd",62.2586279867647,61.2566986083984,4.69301493990095,1.23686413141239,1.16889894522806,1.2997809985183
"20","Sumber_4th",64.6257499076703,65.5519714355469,6.28000507104528,1.36759869582641,1.33937293330115,1.28263517314486
"21","Sumber_5th",67.6848445485402,68.5185241699219,5.91213538067202,0.446049338086408,0.418269941373728,0.858164399882801
"22","Sumber_6th",75.4667511228883,75.5355949401855,4.29744955090089,0.632265498091724,0.652456813577645,0.937061098874522
"23","Bayantal_2nd",73.5545756248793,73.4048767089844,2.8647893130891,0.878625865348259,0.882046929863342,0.833119283792417
"24","Deren_1st",64.8661068795906,65.1937942504883,4.8588773812931,3.01547567959328,3.08349020071311,1.27631161267643
"25","Deren_2nd",66.9030906691542,67.2216567993164,4.32663602334418,3.30346571265029,3.24239953899409,1.19851148778788
"26","Deren_3rd",66.3143896311104,66.8240585327148,4.67355136187698,2.58293695522269,2.48874042095415,1.21010299183151
"27","Deren_4th",67.5919192464219,68.6060409545898,4.85340022371036,2.55466933426315,2.4901394761341,1.27639265869893
"28","Erdenedalai_1st",65.5764258955043,65.7654113769531,4.75053840876929,3.74848393705538,3.72078193636308,1.4951633293925
"29","Erdenedalai_2nd",60.7888714632968,60.14674949646,6.05778117897684,1.82848267918895,1.61825506628534,1.40119047175395
"30","Erdenedalai_3rd",64.5874823141208,64.4142875671387,5.88092306640101,1.97557824942546,1.9398826118616,1.16069655532599
"31","Erdenedalai_4th",61.9408742440194,61.546199798584,5.40451991100887,1.69423192131057,1.59577858540223,1.22263346889967
"32","Erdenedalai_5th",61.153859722068,60.2250022888184,5.48081474766764,3.02075675082654,2.97620657344818,1.63409422485645
"33","Erdenedalai_6th",62.1105671222533,62.3021392822266,5.29158449812748,2.74587618309558,2.70293202514771,1.28305165815288
"34","Erdenedalai_7th",58.6087259830946,57.0523681640625,4.87996359202376,1.78598726006374,1.42584787318341,1.43506756334981
