"","bag","mean_vol2023","med_vol2023","sd_vol2023","pslopevol_mean","pslopevol_med","pslopevol_sd"
"1","Bayan_1st",27.8729512527263,27.7069778442383,4.28592560010983,2.93834612147531,2.6434261779875,2.8923479880871
"2","Bayan_2nd",27.7720908298744,27.9153652191162,3.97461054240274,3.99293695473839,3.7067623636924,3.30435708361889
"3","Bayan_3rd",28.4390482984111,28.2711229324341,3.998963472937,2.712475157001,2.40299118824699,3.06019509236535
"4","Bayantsagaan_1st",26.089840234769,25.721607208252,4.85113681702373,5.49879866182687,5.12958455843935,3.52410580753594
"5","Bayantsagaan_2nd",29.089616564972,29.2176942825317,4.41736678006003,4.76657796334492,4.57595158349325,2.9216837805235
"6","Bayantsagaan_3rd",27.1457505263384,26.8099069595337,4.7695007098361,7.15599814300468,6.85895738572687,3.82008635066848
"7","Bayantsagaan_4th",24.2424666260739,23.8393201828003,5.34187437024439,6.46604780369261,6.04069407167241,4.02500433436246
"8","Bayantsagaan_5th",25.6931789955115,23.3254585266113,8.24305722528061,3.14663335556889,2.89264297297425,2.87610826291158
"9","Buren_1st",24.0271104326653,23.0101413726807,6.22203972560047,2.06598814759548,1.35673595054005,3.31654547405087
"10","Buren_2nd",26.7044338318294,26.3344707489014,5.56953449875425,1.93356322500895,1.78067742277641,2.59084375434618
"11","Buren_3rd",27.6951765058999,27.3845386505127,6.05944501067144,1.67499233734322,1.50744817513895,2.79827711732639
"12","Buren_4th",28.6960367390739,28.0007133483887,6.83924946058199,1.5244037594303,1.29062615454791,2.91309604735547
"13","Bayantal_1st",27.8179469757088,27.4926204681396,3.95182254921411,1.2671167294332,1.11018640401898,2.6078306573108
"14","Buren_5th",23.0933857389288,22.0125503540039,5.19394369181196,4.21560079255452,3.97182904662096,3.16680232792699
"15","Delgerkhaan_1st",25.6624364808204,25.0768718719482,5.68723201891571,4.93470615464384,4.56371503333724,3.26116632537341
"16","Delgerkhaan_2nd",23.3994903431556,22.5939807891846,6.01607424106426,3.71756462208888,3.17930063065135,3.29464090092115
"17","Sumber_1st",19.4286792955462,19.001275062561,3.12832381684935,3.97068396896674,3.93906517378507,2.98382591942767
"18","Sumber_2nd",19.1304631203226,18.8130741119385,3.2844215182784,3.79359379585241,3.12571743045898,3.96126126890868
"19","Sumber_3rd",18.8559945633145,18.4326267242432,2.84236495206495,2.78916153105485,2.3568700573466,3.24439838851242
"20","Sumber_4th",20.7320052255377,19.5018005371094,4.44097226749053,2.89089810899568,2.77171058669513,3.1704853853963
"21","Sumber_5th",22.5286643651839,21.4950923919678,5.1362306125307,1.32547126873451,1.09092511559317,2.70011296348057
"22","Sumber_6th",30.3303532292755,30.0767946243286,5.37086736535392,1.45404196378166,1.23603260989759,3.02564452498122
"23","Bayantal_2nd",28.4306790311803,28.298454284668,3.57479389324232,2.53333524352263,2.45875811894617,2.79855528169777
"24","Deren_1st",19.4425775126844,18.2621250152588,4.05743113302544,5.26538297233584,4.69687987322221,3.98993535697385
"25","Deren_2nd",21.0192046938613,20.0823650360107,4.49664702471544,7.1747131322428,6.84499003448384,4.10416452251531
"26","Deren_3rd",20.5762845752558,19.7116804122925,4.33464585222181,5.76995879755732,5.34974078279618,3.99545234120885
"27","Deren_4th",21.7953890573613,21.3265676498413,4.45752762878197,6.02635704145812,5.96980916095956,3.8376086827836
"28","Erdenedalai_1st",19.6908098498785,18.5062847137451,4.15773158791112,4.68290400670779,3.71553876734625,4.07368741274175
"29","Erdenedalai_2nd",16.6914310634487,15.722466468811,4.22898595457418,2.0394489776848,1.14660631363023,3.44093812694436
"30","Erdenedalai_3rd",19.2212137843449,17.6517906188965,5.45509636752587,2.91766541228228,2.2796476614191,3.32078265567231
"31","Erdenedalai_4th",17.7349332061689,16.8179492950439,4.11735560901951,2.62231014836414,2.12876073791865,3.17651899639021
"32","Erdenedalai_5th",17.7127696687939,16.9446172714233,3.46176318088336,3.7236065698438,2.80563909310014,4.13147407858104
"33","Erdenedalai_6th",17.5218560885593,16.7095508575439,3.60828350248334,3.75266573080292,3.00103008664365,3.52449128843782
"34","Erdenedalai_7th",15.711745770866,15.1658477783203,2.6296841406006,2.46399831382892,1.70788847473618,3.72319731006262
